Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
1A401030000AC48000020508,"Tozmoz, Mango, Cannabis derived terpenes",Concentrate,29.9,29.9,0,9/30/2021
1A401030000AC48000020512,"Tozmoz, Blue Magoo, Cannabis-Derived Terpenes",Concentrate,34.7,34.7,0,9/30/2021
1A401030000AC48000020513,"Tozmoz, Sunset Sherbert, Cannabis-Derived Terpenes",Concentrate,189.7,189.7,0,9/30/2021
1A401030000AC48000020520,"Tozmoz, Dream Queen, Cannabis Derived Terpenes",Concentrate,66,66,0,10/1/2021
1A401030000AC48000020586,"Elysium Fields, Mob Diesel, Full Spectrum Cannabis Oil",Extracts,523,575.1,52.1,10/4/2021
1A401030000AC48000020720,"Tozmoz, Mob Boss, Live Resin",Extracts,35.3,100,64.7,10/7/2021
1A401030000AC48000020724,"Tozmoz, Gorilla Glue, Live Resin",Extracts,532.4,600,67.6,10/7/2021
1A401030000AC48000020738,"Tozmoz, Agent Orange, Cannabis-Derived Terpenes",Concentrate,31,29.23,-1.77,10/8/2021
1A401030000AC48000020777,"Tozmoz, Dream Queen, Live Resin",Extracts,462,359.2,-102.8,10/8/2021
1A401030000AC48000020844,"RXO, Durban Diesel, FSCO",Concentrate,640.1,155.19,-484.91,10/11/2021
1A401030000AC48000020845,"RXO, Cosmic Mac, FSCO",Concentrate,656.9,181.64,-475.26,10/11/2021
1A401030000AC48000020847,"Tozmoz, Sunset Sherbet, Cannabis-Derived Terpenes",Concentrate,90.5,90.5,0,10/11/2021
1A401030000AC48000020869,"Elysium Fields, Blue Magoo, full Spectrum Cannabis Oil",Extracts,502.5,546.97,44.47,10/12/2021
1A401030000AC48000020872,"Elysium fields, Orange Creamsicle, full spectrum cannabis oil",Concentrate,153.9,184.74,30.84,10/12/2021
1A401030000AC48000021018,"RXO, Black Mamba, FSCO",Concentrate,901.9,937.04,35.14,10/14/2021
1A401030000AC48000021019,"RXO, Rogue OG, FSCO",Concentrate,471.2,483.98,12.78,10/14/2021
1A401030000AC48000021334,"Tozmoz, Cookies n Cream, Cannabis-Derived-Terpenes",Concentrate,55,55,0,10/22/2021
1A401030000AC48000021335,"Tozmoz, Lemon Sour Diesel, Cannabis-Derived-Terpenes",Concentrate,78,78,0,10/22/2021
1A401030000AC48000021343,"RXO, White Cookies & Cream, FSCO",Concentrate,478.7,478.7,0,10/22/2021
1A401030000AC48000021344,"RXO, Lemon Lime Sundae, FSCO",Concentrate,488.7,491.7,3,10/22/2021
1A401030000AC48000021464,"RXO, White Cookies & Cream, FSCO",Concentrate,504.2,504.2,0,10/25/2021
1A401030000AC48000021465,"RXO, White Cookies & Cream, FSCO",Concentrate,510.8,510.8,0,10/25/2021
1A401030000AC48000021466,"RXO, Lemon Lime Sundae, FSCO",Concentrate,483.7,494.2,10.5,10/25/2021
1A401030000AC48000021467,"RXO, Lemon Lime Sundae, FSCO",Concentrate,494.1,494.1,0,10/25/2021
1A401030000AC48000021468,"RXO, Lemon Lime Sundae, FSCO",Concentrate,460.6,468.5,7.9,10/25/2021
1A401030000AC48000021810,VTA - 166 - Main,Concentrate,302,389,87,10/29/2021
1A401030000AC48000021825,"Private Stash, Green Apple, 1:1 Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),45,45,0,10/29/2021
1A401030000AC48000021834,"Tozmoz, Mob Boss, Cannabis Derived Terpenes",Concentrate,66.8,66.8,0,10/30/2021
1A401030000AC48000021837,"Tozmoz, Blue Magoo, Cannabis-Derived Terpenes",Concentrate,130.6,130.6,0,10/31/2021
1A401030000AC48000021838,"Tozmoz, Blueberry Muffin, Cannabis-Derived Terpenes",Concentrate,85.6,85.6,0,10/31/2021
1A401030000AC48000021839,"Tozmoz, Jack The Ripper, Cannabis Derived Terpenes",Concentrate,54.5,53.5,-1,10/31/2021
1A401030000AC48000021964,"Tozmoz, Sunset Sherbert, Live Resin",Extracts,321.4,571,249.6,11/3/2021
1A401030000AC48000021975,"Tozmoz, Lemon Sour Diesel, Live Resin",Extracts,180.8,416.2,235.4,11/3/2021
1A401030000AC48000022108,"Private Stash, Watermelon, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),18,17,-1,11/9/2021
1A401030000AC48000022163,"Private Stash, Tropical, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),30,30,0,11/12/2021
1A401030000AC48000022179,"Tozmoz, Dream Queen, Cannabis Derived Terpenes",Concentrate,125.7,130.3,4.6,11/15/2021
1A401030000AC48000022180,"Tozmoz, Banner, Cannabis Derived Terpenes",Concentrate,18.4,21.37,2.97,11/15/2021
1A401030000AC48000022181,"Tozmoz, Cookies n Cream, Cannabis-Derived-Terpenes",Concentrate,112.4,112.4,0,11/15/2021
1A401030000AC48000022182,"Tozmoz, Purple Hindu Kush, Cannabis Derived Terpenes",Concentrate,158.58,158.58,0,11/15/2021
1A401030000AC48000022183,"Tozmoz, Chem Rush, Cannabis Derived Terpenes",Concentrate,95.3,95.3,0,11/15/2021
1A401030000AC48000022186,"Tozmoz, Mac Express, Cannabis Derived Terpenes",Concentrate,37.2,37.2,0,11/15/2021
1A401030000AC48000022188,"Tozmoz, Lemon Apricot, Cannabis Derived Terpenes",Concentrate,97.1,99.2,2.1,11/15/2021
1A401030000AC48000022189,"Tozmoz, Alien E.T., Cannabis-Derived Terpenes",Concentrate,36.98,36.98,0,11/15/2021
1A401030000AC48000022216,"Tozmoz, Blue Mazar, Cannabis Derived Terpenes",Concentrate,44.4,44.4,0,11/16/2021
1A401030000AC48000022219,"Tozmoz, Blueberry Muffin, Cannabis-Derived Terpenes",Concentrate,47.7,47.7,0,11/16/2021
1A401030000AC48000022243,"Tozmoz, Double O Cookies (Agent Orange x Orange Cookies ), Live Resin, Sauce & Diamonds",Extracts,439.5,436,-3.5,11/16/2021
1A401030000AC48000022247,"Tozmoz, Vanilla Frosting, Live Resin, Sauce & Diamonds",Extracts,601,603,2,11/16/2021
1A401030000AC48000022259,"Tozmoz, Mango Kush, Live Resin, Sauce & Diamonds",Extracts,634.5,635.3,0.8,11/16/2021
1A401030000AC48000022265,"Tozmoz, Vanilla Frosting, Live Resin",Extracts,514.1,517.27,3.17,11/16/2021
1A401030000AC48000022266,"Tozmoz, Lemon Apricot, Live Resin, Badder",Extracts,322.4,331.4,9,11/16/2021
1A401030000AC48000022267,"Tozmoz, Magic Melon, Cannabis Derived Terpenes",Concentrate,20.4,20.4,0,11/16/2021
1A401030000AC48000022300,"Tozmoz, Sunset Sherbert, THCA",Extracts,214,137,-77,11/17/2021
1A401030000AC48000022355,VTA - 169 - Main,Concentrate,911,923,12,11/18/2021
1A401030000AC48000022368,"Tozmoz, Ultra Violet Trainwreck (Ultra Violet x Purple Trainwreck), Live Resin, Sauce & Diamonds",Extracts,696.4,697.4,1,11/18/2021
1A401030000AC48000022369,"Tozmoz, Drank Del Diablo (Diablo Rojo x Grape Drank), Live Resin, Sauce & Diamonds",Extracts,471,474,3,11/18/2021
1A401030000AC48000022370,"Tozmoz, Lemon Kush, Live Resin, Sauce & Diamonds",Extracts,1031,1037,6,11/18/2021
1A401030000AC48000022371,"Tozmoz, Lemon Apricot, Live Resin, Sauce & Diamonds",Extracts,841,818,-23,11/18/2021
1A401030000AC48000022372,"Tozmoz, Blueberry Diesel x Triple OG, Live Resin, Sauce & Diamonds",Extracts,1578,1607,29,11/18/2021
1A401030000AC48000022379,"Tozmoz, 9lb Funky Town (9lb Hammer x First Class Funk), Live Resin, Badder",Extracts,258.6,264,5.4,11/18/2021
1A401030000AC48000022380,"Jackpot, Wrath of God, Distillate",Concentrate,455.7,55,-400.7,11/18/2021
1A401030000AC48000022381,"Jackpot, Pink Pixie, Distillate",Concentrate,502.5,513,10.5,11/18/2021
1A401030000AC48000022382,"Jackpot, 9lb Hammer , Distillate",Concentrate,498.3,524,25.7,11/18/2021
1A401030000AC48000022383,"Jackpot, Grape OG, Distillate",Concentrate,509.3,16,-493.3,11/18/2021
1A401030000AC48000022384,"Jackpot, Lemon Apricot, Distillate",Concentrate,500.7,26,-474.7,11/18/2021
1A401030000AC48000022385,"Jackpot, Banner , Distillate",Concentrate,493.5,519,25.5,11/18/2021
1A401030000AC48000022386,"Jackpot, Pineapple Express, Distillate",Concentrate,494.7,12,-482.7,11/18/2021
1A401030000AC48000022391,"Tozmoz, Chem Rush, Live Resin, Sauce & Diamonds",Extracts,1879,1895,16,11/18/2021
1A401030000AC48000022422,"Tozmoz, Lemon Wookie, Cannabis Derived Terpenes",Concentrate,52.6,49.4,-3.2,11/19/2021
1A401030000AC48000022553,"Tozmoz, Sunset Sherbert, Live Resin",Extracts,283.8,283.8,0,11/23/2021
1A401030000AC48000022554,"Tozmoz, Jagermeister, Live Resin",Extracts,45.3,45.3,0,11/23/2021
1A401030000AC48000022592,"Tozmoz, Grandma's Pie, Cannabis Derived Terpenes",Concentrate,77.84,77.84,0,11/24/2021
1A401030000AC48000022594,"Tozmoz, Hindu Kush, Cannabis-Derived Terpenes",Concentrate,65.18,65.18,0,11/24/2021
1A401030000AC48000022652,"Elysium Fields, Lemon Sour Diesel, Full Spectrum Cannabis Oil, Bulk",Extracts,470.4,31.1,-439.3,11/29/2021
1A401030000AC48000022653,"Elysium Fields, Mob Queen, Full Spectrum Cannabis Oil",Extracts,470.4,45.1,-425.3,11/29/2021
1A401030000AC48000022654,"Elysium Fields, Boss Sherbert, Full Spectrum Cannabis Oil",Extracts,479.6,439.86,-39.74,11/29/2021
1A401030000AC48000022655,"Private Stash, Green Apple, 1:1 Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),1041.3,25,-1016.3,11/29/2021
1A401030000AC48000022657,"Elysium Fields, Jager, Full Spectrum Cannabis Oil",Extracts,1073.9,994,-79.9,11/29/2021
1A401030000AC48000022658,"Elysium Fields, Sunset Dream, Full Spectrum Cannabis Oil",Extracts,994.5,994,-0.5,11/29/2021
1A401030000AC48000022662,"Tozmoz, Cherry Truffle, Cannabis-Derived Terpenes",Extracts,456.2,456.2,0,11/29/2021
1A401030000AC48000022703,"Elysium Fields, BLACK, Hindu Kush, Full Spectrum Cannabis Oil",Extracts,3848.93,3845.93,-3,11/30/2021
1A401030000AC48000022765,"Elysium Fields, BLACK, Sundae Driver, Full Spectrum Cannabis Oil",Extracts,858,889.9,31.9,12/1/2021
1A401030000AC48000022767,"Elysium Fields, BLACK, Huckleberry Diesel, Full Spectrum Cannabis Oil",Extracts,1506.5,1524.7,18.2,12/1/2021
1A401030000AC48000022768,"Elysium Fields, BLACK, Green Dragon, Full Spectrum Cannabis Oil",Extracts,1152.9,1183.8,30.9,12/1/2021
1A401030000AC48000022801,"Tozmoz, Green Dragon, Cannabis Derived Terpenes",Concentrate,297.8,297.8,0,12/2/2021
1A401030000AC48000022802,"Tozmoz, Frosted Hog, Cannabis Derived Terpenes",Concentrate,92.8,92.8,0,12/2/2021
1A401030000AC48000022803,"Tozmoz, Huckleberry Diesel, Cannabis Derived Terpenes",Concentrate,239.4,239.4,0,12/2/2021
1A401030000AC48000022804,"Tozmoz, Sundae Driver, Cannabis Derived Terpenes",Concentrate,111,57.3,-53.7,12/2/2021
1A401030000AC48000022864,"Tozmoz, Van Frost, Cannabis Derived Terpenes",Concentrate,91.9,91.9,0,12/6/2021
1A401030000AC48000022867,"Tozmoz, Mangolicious, Cannabis-Derived Terpenes",Concentrate,44.9,44.9,0,12/6/2021
1A401030000AC48000022916,"Tozmoz, High Potency Distillate Blend, Bulk",Concentrate,1687.99,1022.49,-665.5,12/7/2021
1A401030000AC48000022934,"Elysium Fields, Agent Orange, Live Resin - Sugar",Extracts,831,859,28,12/7/2021
1A401030000AC48000022938,"Elysium Fields, Cookie Meister, Live Resin - Sugar",Extracts,956,970,14,12/7/2021
1A401030000AC48000023020,"Tozmoz, Lemon Sour Diesel, THCA",Extracts,830.25,820,-10.25,12/9/2021
1A401030000AC48000023043,"Private Stash, Tropical, Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),958.2,959,0.8,12/10/2021
1A401030000AC48000023182,"Tozmoz, Alien ET, Canabis-Derived Terpenes",Extracts,40,40,0,12/14/2021
1A401030000AC48000023183,"Tozmoz, Sunset Sherbert, Cannabis Derived Terpenes",Extracts,92.8,92.8,0,12/14/2021
1A401030000AC48000023217,VTA - 171 - Main,Concentrate,3153,3153,0,12/15/2021
1A401030000AC48000023251,"Blue Cookies, Live Resin, Badder",Extracts,425,434,9,12/16/2021
1A401030000AC48000023252,"Sunset Dream, Live Resin, Applesauce",Extracts,2635.6,2598,-37.6,12/16/2021
1A401030000AC48000023253,"Royal LSD, Live Resin, Badder",Extracts,1558,1061,-497,12/16/2021
1A401030000AC48000023254,"Cookie Mobster, Live Resin, Applesauce",Extracts,2616,2115.4,-500.6,12/16/2021
1A401030000AC48000023255,"Mob Queen, Live Resin, Applesauce",Extracts,3018,2520,-498,12/16/2021
1A401030000AC48000023256,"Dream Cookies, Live Resin, Applesauce",Extracts,2326,1827,-499,12/16/2021
1A401030000AC48000023260,"Cookie Meister's Dream, Live Resin, Crystal & Sauce",Extracts,2027,2028,1,12/16/2021
1A401030000AC48000023337,"Tozmoz, Cherry Pie, Cannabis-Derived Terpenes",Extracts,68.8,68.8,0,12/20/2021
1A401030000AC48000023338,"Tozmoz, Cookie Mac, Cannabis-Derived Terpenes",Extracts,70.2,70.2,0,12/20/2021
1A401030000AC48000023339,"Tozmoz, Lemon Sour Diesel, Cannabis-Derived Terpenes",Concentrate,20,20,0,12/20/2021
1A401030000AC48000023342,"Tozmoz, Blue Magoo, Cannabis-Derived Terpenes",Concentrate,132.3,132.3,0,12/20/2021
1A401030000AC48000023396,"Elysium Fields, Green Dragon, Live Resin - Badder",Extracts,250,252,2,12/22/2021
1A401030000AC48000023397,"Elysium Fields, Green Dragon, Live Resin - Badder",Extracts,298,299.8,1.8,12/22/2021
1A401030000AC48000023398,"Elysium Fields, Green Dragon, Live Resin - Badder",Extracts,701,708,7,12/22/2021
1A401030000AC48000023399,"Elysium Fields, Huckleberry Diesel, Live Resin - Sugar",Extracts,567,572,5,12/22/2021
1A401030000AC48000023400,"Elysium Fields, Huckleberry Diesel, Live Resin - Sugar",Extracts,693,699,6,12/22/2021
1A401030000AC48000023401,"Elysium Fields, Green Dragon, Live Resin - Applesauce",Extracts,861,867,6,12/22/2021
1A401030000AC48000023402,"Elysium Fields, Huckleberry Diesel, Live Resin - Applesauce",Extracts,783,787,4,12/22/2021
1A401030000AC48000023404,"Elysium Fields, Green Dragon, Live Resin - Sugar",Extracts,936,967,31,12/22/2021
1A401030000AC48000023405,"Elysium Fields, Green Dragon, Live Resin - Sugar",Extracts,600,603,3,12/22/2021
1A401030000AC48000023406,"Elysium Fields, Sundae Driver, Live Resin - Applesauce",Extracts,1100,1104,4,12/22/2021
1A401030000AC48000023407,"Elysium Fields, Sundae Driver, Live Resin - Applesauce",Extracts,1599,1602,3,12/22/2021
1A401030000AC48000023408,"Elysium Fields, Sundae Driver, Live Resin - Applesauce",Extracts,1065,1068,3,12/22/2021
1A401030000AC48000023409,"Elysium Fields, Sundae Driver, Live Resin - Applesauce",Extracts,1091,1093,2,12/22/2021
1A401030000AC48000023410,"Elysium Fields, Huckleberry Diesel, Live Resin - Diamonds & Sauce",Extracts,314,317,3,12/22/2021
1A401030000AC48000023411,"Elysium Fields, Huckleberry Diesel, Live Resin - Diamonds & Sauce",Extracts,793,799,6,12/22/2021
1A401030000AC48000023463,VTA - 172 - Main,Concentrate,3698,3698,0,12/23/2021
1A401030000AC48000023503,"Tozmoz, Dream Queen, Cannabis-Derived Terpenes",Extracts,68.3,68.3,0,12/27/2021
1A401030000AC48000023504,"Tozmoz, Grape Mac, Cannabis-Derived Terpenes",Extracts,51.6,51.6,0,12/27/2021
1A401030000AC48000023506,"Tozmoz, Oregon Lemons, Cannabis-Derived Terpenes",Extracts,29.6,29.6,0,12/27/2021
1A401030000AC48000023509,"Tozmoz, Cascade Kush, Cannabis-Derived Terpenes",Extracts,59.4,59.4,0,12/27/2021
1A401030000AC48000023510,"Tozmoz, Alienade, Cannabis-Derived Terpenes",Extracts,34.1,32.7,-1.4,12/27/2021
1A401030000AC48000023511,"Tozmoz, Widow Bomb, Cannabis-Derived Terpenes",Extracts,148.2,148.2,0,12/27/2021
1A401030000AC48000023512,"Tozmoz, Critical Cookies, Cannabis-Derived Terpenes",Extracts,33.5,33.5,0,12/27/2021
1A401030000AC48000023513,"Tozmoz, Oregon Grapes, Cannabis-Derived Terpenes",Extracts,18.8,18.8,0,12/27/2021
1A401030000AC48000023534,"Private Stash, Blue Raspberry, Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),970.9,129,-841.9,12/28/2021
1A401030000AC48000023569,"Tozmoz, Mac 1, Cannabis-Derived Terpenes",Extracts,68.7,67.99,-0.71,12/30/2021
1A401030000AC48000023629,"Elysium Fields, Oregon Mac, Infused Pre-Roll",Infused Pre-Roll,1278,1272,-6,1/3/2022
